"機構","姓名","職位","辦公室電話"
"醫院管理局","梁智仁教授 , SBS, JP","主席","2300 7269"
"醫院管理局","梁栢賢 醫生, JP","行政總裁","2300 8300"
""
"機構","部門","姓名","職位","辦公室電話"
"醫院管理局","醫院管理局","梁智仁教授 , SBS, JP","主席","2300 7269"
"醫院管理局","醫院管理局","梁栢賢 醫生, JP","行政總裁","2300 8300"
"醫院管理局","醫院管理局,雅麗氏何妙齡那打素醫院","","",""
"醫院管理局","醫院管理局,白普理寧養中心","","",""
"醫院管理局","醫院管理局,明愛醫院","","",""
"醫院管理局","醫院管理局,青山醫院","","",""
"醫院管理局","醫院管理局,舂磡角慈氏護養院","","",""
"醫院管理局","醫院管理局,沙田慈氏護養院","","",""
"醫院管理局","醫院管理局,葛量洪醫院","","",""
"醫院管理局","醫院管理局,靈實醫院","","",""
"醫院管理局","醫院管理局,香港佛教醫院","","",""
"醫院管理局","醫院管理局,香港兒童醫院","","",""
"醫院管理局","醫院管理局,香港眼科醫院","","",""
"醫院管理局","醫院管理局,香港紅十字會輸血服務中心","","",""
"醫院管理局","醫院管理局,香港防癆心臟及胸病協會","","",""
"醫院管理局","醫院管理局,九龍醫院","","",""
"醫院管理局","醫院管理局,葵涌醫院","","",""
"醫院管理局","醫院管理局,廣華醫院","","",""
"醫院管理局","醫院管理局,麥理浩復康院","","",""
"醫院管理局","醫院管理局,北區醫院","","",""
"醫院管理局","醫院管理局,北大嶼山醫院","","",""
"醫院管理局","醫院管理局,聖母醫院","","",""
"醫院管理局","醫院管理局,東區尤德夫人那打素醫院","","",""
"醫院管理局","醫院管理局,博愛醫院","","",""
"醫院管理局","醫院管理局,威爾斯親王醫院","","",""
"醫院管理局","醫院管理局,瑪嘉烈醫院","","",""
"醫院管理局","醫院管理局,伊利沙伯醫院","","",""
"醫院管理局","醫院管理局,瑪麗醫院","","",""
"醫院管理局","醫院管理局,律敦治醫院","","",""
"醫院管理局","醫院管理局,沙田醫院","","",""
"醫院管理局","醫院管理局,小欖醫院","","",""
"醫院管理局","醫院管理局,長洲醫院","","",""
"醫院管理局","醫院管理局,大埔醫院","","",""
"醫院管理局","醫院管理局,鄧肇堅醫院","","",""
"醫院管理局","醫院管理局,大口環根德公爵夫人兒童醫院","","",""
"醫院管理局","醫院管理局,天水圍醫院","","",""
"醫院管理局","醫院管理局,贊育醫院","","",""
"醫院管理局","醫院管理局,將軍澳醫院","","",""
"醫院管理局","醫院管理局,屯門醫院","","",""
"醫院管理局","醫院管理局,東華東醫院","","",""
"醫院管理局","醫院管理局,東華三院馮堯敬醫院","","",""
"醫院管理局","醫院管理局,東華三院黃大仙醫院","","",""
"醫院管理局","醫院管理局,東華醫院","","",""
"醫院管理局","醫院管理局,聯合醫院","","",""
"醫院管理局","醫院管理局,黃竹坑醫院","","",""
"醫院管理局","醫院管理局,仁濟醫院","","",""
