"Organisation","Full Name","Post Title","Office Tel"
"Hospital Authority"," Professor John LEONG Chi Yan, SBS, JP","Chairman","2300 7269"
"Hospital Authority","Dr. LEUNG Pak Yin, JP","Ch Ex","2300 8300"
""
"Organisation","Department","Full Name","Post Title","Office Tel"
"Hospital Authority","Hospital Authority"," Professor John LEONG Chi Yan, SBS, JP","Chairman","2300 7269"
"Hospital Authority","Hospital Authority","Dr. LEUNG Pak Yin, JP","Ch Ex","2300 8300"
"Hospital Authority","Hospital Authority,Alice Ho Miu Ling Nethersole Hospital","","",""
"Hospital Authority","Hospital Authority,Bradbury Hospice","","",""
"Hospital Authority","Hospital Authority,Caritas Medical Centre","","",""
"Hospital Authority","Hospital Authority,Castle Peak Hospital","","",""
"Hospital Authority","Hospital Authority,Cheshire Home, Chung Hom Kok","","",""
"Hospital Authority","Hospital Authority,Cheshire Home, Sha Tin","","",""
"Hospital Authority","Hospital Authority,Grantham Hospital","","",""
"Hospital Authority","Hospital Authority,Haven of Hope Hospital","","",""
"Hospital Authority","Hospital Authority,Hong Kong Buddhist Hospital","","",""
"Hospital Authority","Hospital Authority,Hong Kong Children's Hospital","","",""
"Hospital Authority","Hospital Authority,Hong Kong Eye Hospital","","",""
"Hospital Authority","Hospital Authority,Hong Kong Red Cross Blood Transfusion Service","","",""
"Hospital Authority","Hospital Authority,Hong Kong Tuberculosis Chest & Heart Diseases Association","","",""
"Hospital Authority","Hospital Authority,Kowloon Hospital","","",""
"Hospital Authority","Hospital Authority,Kwai Chung Hospital","","",""
"Hospital Authority","Hospital Authority,Kwong Wah Hospital","","",""
"Hospital Authority","Hospital Authority,MacLehose Medical Rehabilitation Centre","","",""
"Hospital Authority","Hospital Authority,North District Hospital","","",""
"Hospital Authority","Hospital Authority,North Lantau Hospital","","",""
"Hospital Authority","Hospital Authority,Our Lady of Maryknoll Hospital","","",""
"Hospital Authority","Hospital Authority,Pamela Youde Nethersole Eastern Hospital","","",""
"Hospital Authority","Hospital Authority,Pok Oi Hospital","","",""
"Hospital Authority","Hospital Authority,Prince of Wales Hospital","","",""
"Hospital Authority","Hospital Authority,Princess Margaret Hospital","","",""
"Hospital Authority","Hospital Authority,Queen Elizabeth Hospital","","",""
"Hospital Authority","Hospital Authority,Queen Mary Hospital","","",""
"Hospital Authority","Hospital Authority,Ruttonjee Hospital","","",""
"Hospital Authority","Hospital Authority,Shatin Hospital","","",""
"Hospital Authority","Hospital Authority,Siu Lam Hospital","","",""
"Hospital Authority","Hospital Authority,St John Hospital","","",""
"Hospital Authority","Hospital Authority,Tai Po Hospital","","",""
"Hospital Authority","Hospital Authority,Tang Shiu Kin Hospital","","",""
"Hospital Authority","Hospital Authority,The Duchess of Kent Children's Hospital at Sandy Bay","","",""
"Hospital Authority","Hospital Authority,Tin Shui Wai Hospital","","",""
"Hospital Authority","Hospital Authority,Tsan Yuk Hospital","","",""
"Hospital Authority","Hospital Authority,Tseung Kwan O Hospital","","",""
"Hospital Authority","Hospital Authority,Tuen Mun Hospital","","",""
"Hospital Authority","Hospital Authority,Tung Wah Eastern Hospital","","",""
"Hospital Authority","Hospital Authority,Tung Wah Group of Hospitals Fung Yiu King Hospital","","",""
"Hospital Authority","Hospital Authority,Tung Wah Group of Hospitals Wong Tai Sin Hospital","","",""
"Hospital Authority","Hospital Authority,Tung Wah Hospital","","",""
"Hospital Authority","Hospital Authority,United Christian Hospital","","",""
"Hospital Authority","Hospital Authority,Wong Chuk Hang Hospital","","",""
"Hospital Authority","Hospital Authority,Yan Chai Hospital","","",""
