"機構","姓名","職位","辦公室電話"
"香港旅遊發展局","程鼎一 先生","總幹事","2807 6543"
""
"機構","部門","姓名","職位","辦公室電話"
"香港旅遊發展局","香港旅遊發展局","程鼎一 先生","總幹事","2807 6543"
"香港旅遊發展局","香港旅遊發展局,北京辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,倫敦辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,洛杉磯辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,新加坡辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,悉尼辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,台北辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,東京辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,法蘭克福辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,紐約辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,越南代辦","","",""
"香港旅遊發展局","香港旅遊發展局,成都辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,新德里代辦","","",""
"香港旅遊發展局","香港旅遊發展局,雅加達代辦","","",""
"香港旅遊發展局","香港旅遊發展局,莫斯科代辦","","",""
"香港旅遊發展局","香港旅遊發展局,杜拜代辦","","",""
"香港旅遊發展局","香港旅遊發展局,菲律賓代辦","","",""
"香港旅遊發展局","香港旅遊發展局,多倫多辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,廣州辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,上海辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,巴黎辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,首爾辦事處","","",""
"香港旅遊發展局","香港旅遊發展局,曼谷代辦","","",""
