"Organisation","Full Name","Post Title","Office Tel"
"Hong Kong Tourism Board","Ms. IP Ching Tak, Becky","Acting Executive Director","2807 6543"
""
"Organisation","Department","Full Name","Post Title","Office Tel"
"Hong Kong Tourism Board","Hong Kong Tourism Board","Ms. IP Ching Tak, Becky","Acting Executive Director","2807 6543"
"Hong Kong Tourism Board","Hong Kong Tourism Board,Bangkok Representative Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Beijing Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Chengdu Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Dubai Representative Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Frankfurt Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Guangzhou Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Jakarta Representative Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,London Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Los Angeles Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Moscow Representative Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,New Delhi Representative Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,New York Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Paris Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Philippines Representative Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Seoul Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Shanghai Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Singapore Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Sydney Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Taipei Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Tokyo Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Toronto Office","","",""
"Hong Kong Tourism Board","Hong Kong Tourism Board,Vietnam Office","","",""
