"Organisation","Full Name","Post Title","Office Tel"
"Radio Television Hong Kong","Mr. LEUNG Ka Wing, JP","Director of Broadcasting","2339 6333"
"Radio Television Hong Kong","Mr. FUNG Kin Yip, Eugene, JP","Deputy Director of Broadcasting (Special Support)","2339 6332"
"Radio Television Hong Kong","Mr. FUNG Kin Yip, Eugene, JP","Deputy Director of Broadcasting (Programmes)","2339 6332"
""
"Organisation","Service Name","Office Tel"
"Radio Television Hong Kong","Broadcasting House Mainswitch","2339 6300"
"Radio Television Hong Kong","Educational Television Centre Mainswitch","2339 3100"
"Radio Television Hong Kong","Television House Mainswitch","2339 7600"
"Radio Television Hong Kong","Service Hotline","2272 0000"
""
"Organisation","Department","Full Name","Post Title","Office Tel"
"Radio Television Hong Kong","Radio Television Hong Kong","Mr. LEUNG Ka Wing, JP","Director of Broadcasting","2339 6333"
"Radio Television Hong Kong","Radio Television Hong Kong","Ms. LI Hoi San, Karis","Sr Per Secy to Dir of Broadcasting","2339 6328"
"Radio Television Hong Kong","Radio Television Hong Kong","Mr. FUNG Kin Yip, Eugene, JP","Deputy Director of Broadcasting (Special Support)","2339 6332"
"Radio Television Hong Kong","Radio Television Hong Kong","Ms. WONG Ka Ping, Pinky","Per Secy I to Dep Dir of Broadcasting (Special Support)","2339 6553"
"Radio Television Hong Kong","Radio Television Hong Kong","Mr. FUNG Kin Yip, Eugene, JP","Deputy Director of Broadcasting (Programmes)","2339 6332"
"Radio Television Hong Kong","Radio Television Hong Kong","Ms. CHIU Tai Man, Harriet","Per Secy I to Dep Dir of Broadcasting (Programmes)","2339 6552"
"Radio Television Hong Kong","Radio Television Hong Kong,Enquiry Hotline","","",""
"Radio Television Hong Kong","Radio Television Hong Kong,Service Hotline","","",""
"Radio Television Hong Kong","Radio Television Hong Kong,Departmental Administration Unit","Ms. CHENG Mee Khan, Jessica","Departmental Secretary","2339 6330"
"Radio Television Hong Kong","Radio Television Hong Kong,Departmental Administration Unit","Ms. WONG Ka Ping, Pinky","PS I to DS","2339 6554"
"Radio Television Hong Kong","Radio Television Hong Kong,Departmental Administration Unit","Ms. CHANG Wing Yin, Iris","CEO (DAU)","2339 6322"
"Radio Television Hong Kong","Radio Television Hong Kong,Departmental Administration Unit","Mr. CHAN Chi Wang, Colin","Engineer (DAU)","2339 6543"
"Radio Television Hong Kong","Radio Television Hong Kong,Departmental Administration Unit","Miss YAU Ngai Man, Olivia","SEO (Recruitment)","3547 1743"
"Radio Television Hong Kong","Radio Television Hong Kong,Departmental Administration Unit","Miss LAU Yat Sum, Janice","SEO (General)","2339 6302"
"Radio Television Hong Kong","Radio Television Hong Kong,Departmental Administration Unit","Miss NG Kai Yue, Eliza","SEO (Appointments)","3547 1209"
